Income,,,,,
year,Brooklyn,Manhattan,Queens,Bronx,Staten Island
2009,22959,60047,25268,17301,30603
2010,23605,59149,25553,17575,30843
2011,24398,61290,26234,17992,31276
2012,24649,61951,26373,18048,31537
2013,25289,62498,26495,18171,31823
2014,25932,63610,26580,18269,32091
2015,26774,64993,26876,18456,32041
2016,28134,66522,27631,18896,32678
,,,,,
Crime,,,,,
year,BROOKLYN,MANHATTAN,QUEENS,BRONX,STATEN ISLAND
2009,115667,96048,76407,84590,20335
2010,116774,93971,76245,83886,20174
2011,116579,90541,76800,82191,19323
2012,120352,93745,77113,81977,19815
2013,117352,93793,77756,80669,19230
2014,117962,90516,77656,81729,19442
2015,114180,90626,73571,81560,18881
2016,113003,92371,74338,84216,18573
,,,,,
Borough,STATEN ISLAND,QUEENS,BRONX,MANHATTAN,BROOKLYN
Pearson,-0.907252165,-0.449454356,-0.313202462,-0.550848115,-0.501496544